ADHD,Alcobra Ltd.,6.52,$138.1M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",37.47,$1.63B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",7.375,$71.63M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",180.28,$40.62B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,NASDAQ
ALXA,"Alexza Pharmaceuticals, Inc.",0.99,$19.37M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,NASDAQ
ALCO,"Alico, Inc.",42.25,$349.89M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,NASDAQ
ALGN,"Align Technology, Inc.",67.09,$5.33B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,NASDAQ
ALIM,"Alimera Sciences, Inc.",3.08,$137.2M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,NASDAQ
ALKS,Alkermes plc,72.88,$10.94B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,NASDAQ
ABTX,"Allegiance Bancshares, Inc.",24.47,$313.53M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,NASDAQ
ALGT,Allegiant Travel Company,178.16,$3B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,NASDAQ
AFOP,"Alliance Fiber Optic Products, Inc.",15.88,$276.07M,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,NASDAQ
AIQ,"Alliance HealthCare Services, Inc.",9.44,$101.49M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,NASDAQ
AHGP,"Alliance Holdings GP, L.P.",23.76,$1.42B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",17.14,$1.27B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",1.1989,$9.62M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",22.91,$212.91M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,NASDAQ
ALQA,"Alliqua BioMedical, Inc.",2.65,$73.32M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,NASDAQ
ALLT,Allot Communications Ltd.,5.24,$174.82M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",15.53,$2.94B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,NASDAQ
AFAM,Almost Family Inc,42.05,$413.06M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",105.98,$8.98B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,9.72,$215.78M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,NASDAQ
GOOG,Alphabet Inc.,767.04,$527.51B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,NASDAQ
GOOGL,Alphabet Inc.,783.79,$539.03B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,NASDAQ
SMCP,AlphaMark Actively Managed Small Cap ETF,22.9065,$24.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,NASDAQ
ATEC,"Alphatec Holdings, Inc.",0.243,$24.57M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,NASDAQ
ALTR,Altera Corporation,52.85,$16.01B,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,28.35,$547.11M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,NASDAQ
AIMC,Altra Industrial Motion Corp.,28.36,$737.72M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",27.54,$955.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,NASDAQ
AMRN,Amarin Corporation PLC,2.05,$376.15M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",15.34,$106.97M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,NASDAQ
AYA,Amaya Inc.,15.72,$2.1B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya,NASDAQ
AMZN,"Amazon.com, Inc.",679.06,$318.32B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,NASDAQ
AMBC,"Ambac Financial Group, Inc.",16.35,$736.09M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",7.44,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,NASDAQ
AMBA,"Ambarella, Inc.",59.71,$1.89B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,NASDAQ
AMCX,AMC Networks Inc.,82.36,$5.96B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,NASDAQ
DOX,Amdocs Limited,56.6,$8.7B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,NASDAQ
AMDA,Amedica Corporation,0.1355,$17.48M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,NASDAQ
AMED,Amedisys Inc,41.41,$1.4B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,NASDAQ
UHAL,Amerco,413,$8.1B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,NASDAQ
ASBI,Ameriana Bancorp,24.29,$73.92M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",5.43,$327.17M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,NASDAQ
